Pn(X)=n*x+n*x.^-1-x.^n-x.^-n

BISECT METHOD
-------------
 N             root            iter
 --            ----            ----
 2       2.29663038253784        21
 3       1.93185138013462        21
 4       1.73908409922715        20
 5       1.61803428151320        20
 6       1.53417720450099        20
 7       1.47226935660902        20
 8       1.42447790067341        19
 9       1.38634161909845        19
10       1.35512298379893        19
11       1.32904357194186        19
12       1.30689334285722        19
13       1.28781992113036        19
14       1.27120552979764        19
15       1.25658787411262        19
16       1.24361723883658        18
17       1.23202064416028        18
18       1.22158412291388        18
19       1.21213689181286        18
20       1.20353995169531        18

NEWTON METHOD
-------------
 N             root            iter
 --            ----            ----
 2       2.29663026288654        5
 3       1.93185165257814        5
 4       1.73908388343135        5
 5       1.61803398874994        4
 6       1.53417713398261        4
 7       1.47226911303020        4
 8       1.42447747988955        4
 9       1.38634147802189        4
10       1.35512315210860        4
11       1.32904340923579        4
12       1.30689310577420        4
13       1.28782004607251        4
14       1.27120530264446        4
15       1.25658787777330        4
16       1.24361693890179        4
17       1.23202049057492        4
18       1.22158421876356        4
19       1.21213683782555        4
20       1.20353971317412        4
